A certain	Egia
To start to perform it	Egiten hasteko
To begin a long period of warfare	Gerra-aldi luze bati ekiteko
To have one's period	Bateko aldia izatea
To withhold permission from him for it	Horretarako baimena atxikitzeko
To be permitted to them	Haiei baimena emateko
To be permitted for him	Baimena izateko
To permit him	Baimena emateko
Sheep permit	Ardi baimena, baimena
Such and such a person	Pertsona gisa
The odor of perspiration	Transpirazioaren usaina
To break out in perspiration	Transpirazioa hausteko
To perspire in the genital region	Konspiratu genitalen eremuan
To start to perspire	Konspiratzen hasteko
Pet lamb or calf	Arkumea edo txahalkia maskotentzat
To pet oneself	Norberaren maskotetarako
To pet	Maskotentzat
To be petering out	Kanpoko petering-a izateko
Phalanges of the hand	Eskuko falangeak
To spit up phlegm	Gorago phlegm entzuteko
Phooey: ł - ł - ł - ł! (disbelief	Phooey: - El - el nel! (sinesgaiztasuna)
To photograph oneself	Nork bere buruari argazkiak ateratzea
To pick corn	Artoa jasotzeko
To pick cotton	Kotoia aukeratzeko
To pick him up	Jasotzeko
To pick him up	Jasotzeko
To pick it	Jasotzeko
To pick it	Jasotzeko
To pick it	Jasotzeko
To pick it clean	Garbi biltzeko
To pick it	Jasotzeko
To pick it off	Kanpoan kentzeko
To pick it up	Noiz arte jasotzeko
To pick on each other	Bata bestean jasotzeko
To pick on him	Bertan jasotzeko
To pick one's nose	Sudurra aukeratzeko
To pick one's teeth	Hortzak aukeratzeko
To pick them up	Noiz arte jasotzeko
To pick it up	Noiz arte jasotzeko
To pick them out with one's nails	Baten azazkalekin ateratzeko
To start to pick them	Hautatzen hasteko
To set pickets	Piketeak finkatzeko
To take one's own picture	Norberaren irudia hartzeko
To go to pieces	Piezetara joateko
To pierce holes in it	Zuloak zulatzeko
wild pigs	zerri basatiak
"To be a ""pig"""	"Txerria" izatea"
To pigeonhole it	A pigeonhole
Blue piki	Piki urdina
White piki	Piki zuria
Yellow piki	Piki horia
Red piki	Piki gorria
To make piki	Pikia egiteko
To be piled in a circle	Zirkulu batean pilatzeko
To be piled in a circle around it	Inguruan zirkulu batean biltzeko
To be piled	Harrapatzeko
To be piling them along in a row	Ilara batean piling egiteko
To lie in a loose pile	Pila soltean gezurra esateko
To pile them neatly	Neatly-ak pilatzeko
To pile them across	Honen bidez pilatzeko:
To pile them against it	Bere kontra pilatzeko
To pile them in a circle around it	Inguruan zirkulu batean pilatzeko
To pile them into the interior	Barruan pilatzeko
To pile them on one another	Elkarri pilatzeko
To pile them onto it	Bertan pilatzeko
To pile them together	Elkarrekin pilatzeko
To pile them	Pilatzeko
To make a pile of them	Pila bat egiteko
"To play ""making a dog pile"	"Jolas egiteko ""zakur-pila egin""
To push things together in a pile	Pila batean gauzak elkartzeko
To start piling them up	Pilatzen hasteko
To pilfer it	Pilatzeko
To pilfer it from him	Pilatzeko
Pilot	Pilot
To pilot it around	Inguruan pilotatzeko
To pilot it	Pilotatzeko
To pilot it about	Honen gainean pilotatzeko:
To have a pimply face	Aurpegi arantzatsua izateko
To have a pimply face	Aurpegi arantzatsua izateko
Brooch type pin	Pin motako brotxa
Safety pin	Segurtasun-pina
To take a pinch of it	Hartatik pixka bat hartzeko
To take small pinches of it	Haren pintxeak hartzeko
To pinch a hole in it	Zuloa zulatzeko
To pinch each other	Elkarri labaintzeko
To pinch him and hang on	Sakatu eta zintzilikatzeko
To pinch it in two	Pinch-a bitan
To pinch it off	Kanpora irristatzeko
To pinch it off	Kanpora irristatzeko
To pinch off one piece after another	Pieza bat bestearen atzetik irristatzeko
To pinch oneself	Norbera hiltzeko
To pinch the cover or top off it	Tapa edo haren gainean irristatzeko
To pinch them off one after another	Bata bestearen atzetik mugitzeko
Big pinching ant	Inurri handia, pintxing
Winged pinching ant	Inurria Winged pintxing
Big flying pinching ant	Big flying picing ant
Big black pinching ant	Handia, beltza, pintxing ant
Under the pines	Pinuen azpian
Pine bark	Pinu-azala
Inner layer of bark on a pinetree	Lurrazaleko barne-geruza pinetree batean
Pinyon bark	Pinyonen azala
Pinyon nut	Pinyon nut
Pinyon nut butter	Pinyon intxaurrezko gurina
To piss in spurts	Spurt-erako
To piss in the fire	Piss sutan
To piss on it	A piss
To piss on oneself	Piss norberarengan
To start to piss	Piss hasteko
Forty-five caliber pistol	Berrogeita bosgarren kalibreko pistola
Pistol butt	Atzeko pistola
To pit its surface	Azalera tindatzeko
Pit for roasting corn	Artoa txigortzeko pit-a
Peach pit	Mertxika-putzua
Storage pit	Biltegiratzeko gunea
To dig a pit	Putzu bat zulatzeko
Dried pitch	Pitch lehorra
To coat it with pitch	Pitch bidez irekitzeko
To start to coat it with pitch	Pitch bidez irekitzen hasteko
To pitch to him	A pitch berari
To pitch a ball back and forth	Joan-etorriko bola bat botatzeko
To become pitch dark	Tonu ilun bihurtzeko
To be a pitcher	Pitxer bat izateko
Summer place	Udan
Winter place	Neguko lekua
At his place	Horren ordez
At such and such a place	Horrela
In few places	Leku gutxitan
In place of it	Horren ordez
In place of him	Haren ordez
In its place	Horren ordez
In many places	Leku askotan
In some places	Leku batzuetan
Meeting place	Topalekua
To be taking place	Gertatzen joateko
To go back into place	Bere lekura itzultzeko
To take its place	Bere lekua hartzeko
To take place	Egiteko
To be unable to place it	Paratzeko gai ez izateko
To place a bet on him	Apustu bat egiteko
To place a saddle on it	Jarlekua jartzeko
To place dirt on it	Zikinkeria bertan jartzeko
To place him in charge of it	Bere kontura jartzeko
To place him on his feet	Oinetan jartzeko
To place him under arrest	Atxilotzeko
To be placed under arrest	Atzipenpean jartzeko
To place it under it as a support	Euskarri gisa jarri
To place it in abeyance	Abeyance moduan jartzeko
To place one's feet on it	Oinak bertan jartzeko
To place one's foot in it	Oina bertan jartzeko
To place one's foot in the water	Oina uretan jartzeko
To place one's head on it	Baten burua bertan jartzeko
To place them around it in a circle	Inguruan zirkulu batean jartzeko
To place them in a row one behind the other	Errenkada batean jartzeko, bata bestearen atzean
The umbilical cord and placenta	Zilborrestea eta plazenta
The placenta falls out	Plazenta erori egiten da
The Great Plains	Lautada Handiak
In plain view	Bista lauan
To start to plait it	Plaitera hasteko
A plan was hatched	Plan bat inkubatu egin zuten
To develop a plan	Plan bat garatzea
Jet plane	Hegazkina, hegazkina
Fighter plane	Borroka-hegazkina
To plant it	Landatzeko
To plant them	Landatzeko
To do the planting	Landaketa egiteko
Plaster of Paris	Parisko igeltsua
Plaster cast	Moldeko igeltsua
Cow platter	Behi-platera
To play with him	Berarekin jolasteko
To play a flute	Flauta bat jolasteko
To play a part or role in it	Parte bat edo bertan paper bat jolasteko
To play basketball	Saskibaloian jokatzeko
To play cards	Kartak jolasteko
To play catch	Harrapaketan jolasteko
To play catch with him	Harekin jolasteko
"To play ""dogpile"""	"""dogpile"""" jolasteko
To play five card cooncan	Bost kartatan jolasteko
To play for it	Horretarako jolasteko
To play it	Jolasteko
To play like	Honela jokatzeko:
Let's play like --	Honela jokatuko dugu: --
To play monte	Mendian jolasteko
To play stick dice	Palo dadoak jolasteko
To play ten card cooncan	Hamar karta jolasteko
To play the cat's cradle game	Katuaren sehaskan jolasteko
To play the hoop and pole game	Eraztuna eta poloa jolasteko
To start to play it	Jolasten hasteko
To plead for them	Haien alde egiteko
As he pleases	Berak gustuko duen bezala
To go wherever one pleases	Nahi duzun lekura joateko
To do as one pleases	Gustuko egin
To make a pleat in it	Bertan auzi bat egiteko
To pleat it all the way around	Auzia egiteko inguruko bide guztia
That's plenty!	Hori asko da!
To have plenty of it	Pila bat izateko
To plot against him	Haren kontra konspiratzeko
To be plowing along making a furrow	Ilara bat egitean goldatzeko
To plow a field	Eremu bat goldatzeko
To plow it under	Gutxi goldatzeko
To start to do the plowing	Plowing-a egiten hasteko
To pluck it	Abiarazteko
To pluck one's beard	Baten bizarra kentzeko
To pluck it out	Abiarazteko
To pluck them	Abiarazteko
To pluck one's beard	Baten bizarra kentzeko
To plug up holes	Zuloak konektatzeko
To plug it in	Hemen konektatzeko:
Plumes taken from a live eagle	Arrano bizi batetik hartutako lumak
"To ""plunk"" him down"	A ""plunk""" bera behean"
To feel around in one's pocket	Baten poltsikoan inguruan sentitzeko
To have one's hands in one's pockets	Eskuak baten poltsikoetan edukitzea
To have a pock-marked face	Alde bat poltsikoarekin markatuta edukitzeko
Rattle pod	Txintxirrina
At this point	Puntu honetan
Line of points	Puntu-lerroa
Main points of a story	Historia baten puntu nagusiak
Point of an angle	Angelu baten puntua
To be a sore point	Puntu mingarria izatea
The one with the most points	Puntu gehien dituena
To hit the high points for him	Harentzat puntu altuak jotzeko
To come to a point	Puntu batera iristeko
To point at him	Prest
To point it at oneself	Nork bere burua seinalatzea
To point it away	Urrutira apuntatzeko
To point it out	Kanporantz apuntatzeko
To point it out to him	Berari esateko
To point one's nose and sniff	Sudurra eta sniffa apuntatzeko
To taper to a point	Puntu bati itsasteko
Poison gas	Gas pozoitsua
Rat poison	Arratoi-pozoia
To poke	Pokerako
To poke around	Inguruan kolpatzeko
To poke around under it	Poke baten azpian
To poke around	Inguruan kolpatzeko
To poke around in the fire	Suaren inguruan kolpatzeko
To poke at each other	Batak bestea jotzeko
To poke fun at him	Iseka egiteko
To poke holes	Zuloak egiteko
To poke holes in it	Zuloen pokerako
To poke holes in it	Zuloen pokerako
To poke oneself	Norberaren pokerako
It pokes	Jo
Poker orientation	Poker orientazioa
Forked poles	Forked zutoinak
To lock forked poles	Forked poloak blokeatzeko
Upper and lower loom poles	Goiko eta beheko loom-zutoinak
Brown shoe polish	Zapata marroi poloniarra
Fingernail polish	Azazkal-esmaltea
To polish it	Leuntzeko
To polish it with it	Harekin leuntzeko
To polish it	Leuntzeko
Pinyon pollen	Pinyon polena
Wild larkspur pollen	Larkspur basatiaren polena
Pollen home	Polena etxean
Pollen Trail	Pollen Trail
Pollen Mountain	Pollen Mountain
Pollen boy	Polen txikia
Pollen Girl	Pollen Girl
Pollen brush	Eskuila-polena
Shetland pony	Pony Shetland
Swimming pool	Igerilekua
Poor old ---	Pobre zaharra ---
To pop	Pop-erako
To pop popcorn	Pop popcorn-erako
To pop them one after another	Poparentzat, bata bestearen atzetik
Porcupine quills	Porcupine quills
Bulk pork sausage	Txerri-saltxitxa soltean
Ground pork	Zerri ehoa
To pose a question	Galdera bat egiteko
To make posole	Posolea egiteko
Valued possessions	Baloratutako ondasunak
There are possibilities open to them	Aukera irekiak daude
To become possible	Ahal dela
It is possible that	Baliteke
Fence posts	Fene-zutoinak
Support posts	Euskarri-argitalpenak
To set posts	Mezuak finkatzeko
Postage stamps	Frankeoko zigiluak
Pots and pans	Eltzeak eta zartaginak
Flower pot	Lore-eltzekoa
Large pot	Eltze handia
Melting pot	Urtze-eltzea
Metal pot	Metalezko eltzea
Fried potato	Patata frijitua
French fried potatoes	Frantziako patata frijituak
Boiled potato	Patata egosia
Baked potato	Patata labekatua
Mashed potato	Patata-purea
Potato baked in the coals	Patata labekatua txingarretan
Shoulder pouch	Sorbalda-poltsa
Ten pounds	Hamar libera esterlina
To weigh one hundred pounds	Ehun libra pisatzeko
To pound it	Libra
To pound	Libra
To pound pieces	Piezak libratzeko
To pound it in	Libran
To pound it into it	Bertan sartzeko
To pound it into the ground	Lurrean sartzeko
To pound it in two lengthwise	Bi luzetarako libretarako
To pound it off it	Kanpora botatzeko
To pound it out with successive blows	Kolpeekin ateratzeko
To pound off a piece of it	Haren zati bat jotzeko
To pound off a piece for him	Beretzat pieza baten libretarako
To pound off piece after piece	Piezaren ondorengo libretarako
To pound on it	Librara bertan
To pound them out	Kanpora botatzeko
To start to pound	Libretan hasteko
To start to pound it	Hau baino arinago hasteko:
To pour it	Ikusteko
To pour it into it	Bertan ikusteko
To pour him some of it	Harengandik zerbait ikusteko
To pour it	Ikusteko
To pour him a drink of it	Neskaren edari bat ikusteko
To pour it into one's own mouth	Ahoan bertan botatzeko
To pour it into his mouth	Ahoan botatzeko
To pour it into it	Bertan ikusteko
To pour it into the water	Uretara isurtzeko
To pour it on oneself	Norberaren gainera isurtzeko
To pour it on oneself one quantity after another	Kantitate bat norberaren gainera beste baten atzetik botatzeko
To pour it over it	Haren gainean ikusteko
To pour it roughly	Ikusteko gutxi gorabehera
To pour some of it for him	Harentzat zerbait egiteko
To pour the covering off it	Estalkia botatzeko
To die of poverty	Pobreziaz hiltzea
To powder oneself	Norberaren hautsarako
Gun powder	Pistola hautsa
Face powder	Aurpegiko hautsa
Foot powder	Hauts-oina
Talcum powder	Talcum hautsa
To put on powder	Hautsa harrotzeko
Magic power	Botere magikoa
To be endowed with supernatural powers	Naturaz gaindiko ahalmenak izatea
Chicken pox	Oilasko-olagarroa
To practice medicine	Medikuntza praktikatzea
Baby prairie dog	Txakurrendako haurtxoa
Prairie dog hole	Zakurrentzako zuloa
To prance about	A prance
To prance around	Inguruko poancerako
To prance along on it	A prance
To pray for it	Horregatik otoitz egiteko
To pray for rain	Euriagatik otoitz egin
To pray to God	Jainkoari otoitz egitea
To say a prayer	Perpaus bat esatea
The Lord's prayer	Jaunaren otoitza
To say the Lord's prayer	Jaunaren perpausa esateko
To prevent one from	Batek ahal ez izateko
Price	Prezioa
To get a good price	Prezio ona lortzeko
To raise the price	Prezioa igotzeko
To set a price on it	Prezio bat ezartzeko
To set a high price on	Prezio altua ezartzeko
To have a price set on it	Prezio finkatua izateko
They are high priced	Oso garestiak dira
To price items of merchandise	Salgaien prezioetan
To price things very high	Oso garestia
To prick oneself	Bere burua probatzeko
To prick oneself	Bere burua probatzeko
Print	Inprimatu
The greatest problem	Arazorik handiena
His problem is --	Zure arazoa hau da: --
To procure it from him	Saiatzeko
To be procured	Lortzeko
To be procured	Lortzeko
To produce it	Produzitzeko
To produce a copy of it	Kopia bat egiteko
To produce many of them	Horietako asko ekoizteko
To produce heat	Beroa sortzeko
To be in progress	Bidean egotea
To be in progress	Bidean egotea
To make pretty good progress	Aurrerapen handi samarra egiteko
To be progressing with them	Haiekin aurrera egiteko
To progress	Aurrera egiteko
"""Things"" are progressing"	"Gauzak" aurrera doaz"
To project across	Proiektatzeko
To project downward	Beherantz proiektatzeko
To project up out	Kanporantz proiektatzeko
To project out horizontally	Kanporantz proiektatu horizontalki
To cause it to project	Proiektatzeko
To cause it to project up out	Kanporantz proiektatzeko
To cause it to project in	Proiektatzeko
To be sexually promiscuous	Sexualki promiskuoa izatea
Propeller shaft	Helize-ardatza
Propeller	Helizea
To be protected by magic	Magiaz babesteko
To protect him	Babesteko
To protect oneself with it	Harekin babesteko
To protect oneself with one's arms in front of one's face	Babestu besoekin aurrez aurre
To protrude outward horizontally	Kanpora horizontalki ateratzeko
To protrude up out	Kanpora ateratzeko
To protrude straight up	Noraino zuzen neurtzeko
To protrude into an enclosure	Esparru batean aurrera egiteko
To protrude	Protruitzeko
To protrude downward	Beherantz egiteko
To protrude from opposite sides of it	Haren aurkako aldeak probatzeko
To protrude from it	Probatzeko
To provide for them	Emateko
