I've bought a car	kotxe bat erosi dut
only a few drink gin	bakan batzuek baino ez dute edaten gina
I'd like a few more	gehixeago nahi nituzke
he has fewer friends than I	nik baino lagun gutxiago ditu
to become fewer	geroz eta gutxiago izan
a fickle business	negozio aldakorra
a fictional character	eleberriko pertsonaia
a fictional world	gezurrezko mundua
a fictitious story	fikziozko istorioa
he was fiddling with his pen while he spoke	boligrafoarekin jolasean zebilen, hitz egiten zuen bitartean
stop fidgeting! why are you so nervous?	egon geldi! zer dela eta zaude horren urduri?
a fiendish laughter	barre gaiztoa
a fiendish wind	haize zitala
a fierce dog	txakur basatia
a fierce attack	eraso bortitza
a fierce heat	bero itogarria
costs are to be shared fifty-fifty	kostuak erdi bana ordainduko dira
a fifty-fifty chance of winning	galtzeko edo irabazteko aukera berdina
costs are to be shared fifty-fifty	kostuak erdi bana ordainduko dira
a fifty-fifty chance of winning	galtzeko edo irabazteko aukera berdina
my brothers are always fighting	nire anaiak beti haserretuta daude
great sporting figures	kirol-munduko pertsona ospetsuak
that's what I figured	hori da uste izan nuena
it has always figured in my plans	beti egon da nire planen artean
I filed the documents	dokumentuak agiritegian gorde ditut
to file for divorce	dibortzioa aurkeztu
I've filed the edges	ertzak limatu dizkiot
could you fill the glass, please?	ontzia beteko duzu, mesedez?
how do you fill the weekend?	nola pasatzen duzu asteburua?
I'm filling the vacancy of a pregnant woman	haurdun dagoen andre baten lana betetzen ari naiz
to fillet meat	haragi xerrak egin
peppers with cod filling	bakailaozko piper beteak
a chocolate filling	txokolatezko betegarria
we're filming a new documentary	dokumental berri bat filmatzen ari gara
John Ford is considered to be one of the best film-makers of all time	John Ford zinemagile handienetariko bat izan da
to filter water	ura iragazi
I keep these filthy rags for cleaning the car	trapu ugerdo hauek autoa garbitzeko ditut
a filthy mind	buru lizuna
finally we're here!	azkenean heldu gara!
finally, I'd like to thank you for attending	amaitzeko, hona etortzea eskertu nahi dizuet
to acquire the necessary finance	beharrezko finantziazioa jaso
the finance department	finantza saila
to finance a project	proiektu bat finantzatu
a financial risk	arrisku finantzarioa
to find the treasure	altxorra topatu
we found that he was lying	gezurretan zebilela jabetu ginen
the judge found him guilty	erruduntzat jo zuen epaileak
"how are you?" —; "fine, thanks"	—;nola zaude? —;oso ondo, eskerrik asko
fine china	portzelana fina
he was fined for speeding	abiadura gehiegi eramatearren isundu zuten
she fingered his hair	ilea laztandu zion
the film finished on time	filma sasoiz bukatu zen
finish your lunch, please!	amaitu bazkaria, mesedez!
the soldiers fired the guns	soldaduek tiro egin zuten
she's a firm believer in justice/discipline	justizian/diziplinan sinesmen sendoa du
to be firm with sb	norbaitekin zorrotza izan
to stand firm	irmo egon
firm the earth around the plants	finkatu landareak lurra inguruan jarriz
the cheesecake will firm during the night	gazta-tarta gauean gogortuko da
a firm of accountants	kontularitza-enpresa
the first time	aurreneko aldia
first, take off your shoes	lehenik, kendu oinetako horiek
I was the first to arrive here	lehenengoa izan naiz hona heltzen
a first-rate place	primerako lekua
I like fishing	arrantzan egitea gustatzen zait
to fish for salmon	izokina harrapatu
I heard something fishy	zerbait susmagarria entzun dut
to be in fit state	egoera egokian egon
I run every day to keep fit	egunero egiten dut korrika, sasoian egoteko
an epileptic fit	epilepsia-krisia
the trousers were a good fit but the jacket was too small	galtzak ondo nituen baina jaka txikiegia zen
this skirt doesn't fit me	gona hau ez da nire neurrikoa
I can't find clothes to fit me	ez dut niretzat jantzi egokirik aurkitzen
the punishment fits the crime	zigorra krimenarekin bat dator
his experience fitted him for the job	esperientziak lanerako gai egin zuen
to fit the lamp on the wall	lanpara horman jarri
this bit fits in here	pieza hau ongi ahokatzen da hemen
a fitting end	bukaera aproposa
to fix the day for the meeting	bileraren eguna finkatu
I've fixed the radio	irratia konpondu dut
I fixed the picture on the wall	koadroa horman jarri dut
I fixed a fantastic dinner	afari ederra atondu dut
fixed ideas	ideia finkoak
the price includes fixtures and fittings	instalazioak eta gailuak prezioaren barne daude
flabby thighs	izter bigunak
flamboyant behaviour	portaera bitxia
flamboyant clothes	ikusteko jantziak
the match flared for a short time	pospoloa denbora gutxi egon zen piztuta
lightning flashed right now	tximistak distiratu du oraintxe bertan
the ambulance flashed past my house	anbulantzia nire etxe aurretik pasatu da
happiness flashed in his eyes	poztasuna agertu zen bere begietan
she flashed the card at the receptionist	harreragileari txartela erakutsi zion
a car driver flashed his lights at me	auto-gidari batek argi-keinua egin zidan
a flashy car	luxuzko autoa
a flat landscape	paisaia laua
a flat refusal	erabateko ezetza
the teacher's voice is too flat	irakaslearen ahotsa monotonoegia da
they don't wear the baby with very flat colours!	ez dizkiote umeari kolore oso apalak janzten!
the drink will be warm and flat by now	edari hori gasik gabe eta epel egongo da honezkero
to lie flat	luze etzan
two minutes flat	bi minutu justu
flatten the dough with a rolling pin	berdindu orea arrabolaz
the planes have flattened the city	herria suntsitu dute hegazkinek
are you trying to flatter me?	ni lausengatu nahian zabiltza?
the new skirt flatters you	gona berriak ederki ematen dizu
a flattering remark	aipamen lausengaria
a flattering colour	ederki ematen dizun kolorea
to flavour food	janaria gozatu
a flawless performance	antzezpen bikaina
he fled to Australia after the war	Australiara ihes egin zuen gerra ostean
a fleeting smile	irribarre laburra
to flex one's muscles	muskuluak luzatu
I flicked through the book	liburua gainetik irakurri nuen
he flicked the switch and the light went out	etengailua zanpatu eta argia itzali zuen
I flicked through the book	liburua gainetik irakurri nuen
her eyes flickered and then she started to cry	begiak kliskatu eta negarrez hasi zen
the lights started to flicker	argiak dir-dir egiten hasi ziren
a flimsy material	material arina
a flimsy chair	aulki eskasa
a flimsy excuse	aitzakia merkea
she flinched when she saw the aeroplane	hegazkina ikustean ikaratu egin zen
he flung her toy to the ground	jostailua lurrera bota zuen
to flip the switch	etengailua sakatu
he flirts with all the female clients	emakumezko bezero guztiak limurtu nahian ibiltzen da
a flirtatious smile	irribarre irtirina
wood floats	egurra ur gainean egoten da
we tried to float the ship again	berriro saiatu ginen txalupa flotarazten
to flog publicly	jendaurrean jipoitu
he's flogging old furniture	altzari zaharrak saltzen ari da
if the dam breaks, the whole town will flood	presa apurtzen bada, herri osoa urak hartuko du
the news completely floored us	berriek erabat zurtu gintuzten
these flowers flourish quickly	lore hauek azkar loratzen dira
she came in smiling flourishing the pictures from her holidays	barrez etorri zen, oporretako argazkiak erakutsiz
blood flowed from her head	odola zerion burutik
the electric current flows through the cables	korronte elektrikoak kableetatik zirkulatzen du
this plant only flowers in December	lore hau abenduan loratzen da bakarrik
he's got flu	gripea du
the road traffic fluctuates depending on the weather	bideko trafikoan gorabeherak izaten dira eguraldiaren arabera
he speaks fluent French	erraz hitz egiten du frantsesez
a fluffy toy	peluxezko jostailua
we prepared a fluffy cake for you	bizkotxo arol bat egin dizugu
fluid movements	mugimendu arinak
a fluid political situation	zalantzazko egoera politikoa
the answer will flummox you	erantzunak harritu egingo zaitu
fluorescent lighting	argi fluoreszentea
the wardrobe is flush with the wall	armairua horman sartua dago
her cheeks flushed red	matrailak gorritu zitzaizkion
you should go home, you look flustered!	joan zaitez etxera, zure onetik aterata dirudizu!
the butterfly fluttered through the window	tximeletak leihotik kanpora harrotu ditu hegalak
the flag is fluttering in the wind	bandera haizearen eraginez mugitzen da
to fly large planes	hegazkin handiak pilotatu
to fly a kite	kometa hegaldatu
he flies passengers	bidaiariak eramaten ditu
they've flown the country	herritik hanka egin dute
the flag was flying in the wind	bandera haizeak zerabilen
she's learning to fly	pilotatzen ikasten ari da
to fly against my will	nire gogoaren kontra hegan egin
to fly the ocean	ozeanoaren gainetik hegan egin
a flying insect	intsektu hegalaria
the focal character of the film	filmeko pertsonaia garrantzitsua
to focus on the face	aurpegia fokuratu
they focused on three main problems	hiru arazo nagusitan jarri zuten arreta
a foggy dawn	egunsenti lainotsua
to foil a plan	plana zapuztu
to fold the map	mapa tolestu
fold your chair before leaving	tolestu zure aulkia joan aurretik
the company folded	enpresak hondoa jo zuen
folk art	arte herrikoia
I followed up the case and wrote the book	kasua ikertu eta liburua idatzi nuen
follow me, please!	jarraitu niri, mesedez!
I don't follow	ez dut ulertzen
to follow your mother's example	zure amaren eredua onetsi
I followed up the case and wrote the book	kasua ikertu eta liburua idatzi nuen
the following week	hurrengo astea
he left the country following his father's death	bere herritik alde egin zuen aitaren heriotzaren ondoren
he's fond of music	musikazalea da
she is fond of cooking	janaria prestatzea gustatzen zaio
I've always been very fond of your daughter	betidanik maitatu izan dut asko zure alaba
a fond embrace	besarkada eztitsua
he's fond of music	musikazalea da
she is fond of cooking	janaria prestatzea gustatzen zaio
I've always been very fond of your daughter	betidanik maitatu izan dut asko zure alaba
she fondled the puppies	panpinak laztandu zituen
stop fooling around!	ez egin pailazoarena gehiago!
to fool about with a boy	mutil batekin maitakeriatan ibili
he could not fool me	ezin izan ninduen limurtu
don't fool around with matches	ez ibili txantxetan pospoloekin
stop fooling around!	ez egin pailazoarena gehiago!
to fool about with a boy	mutil batekin maitakeriatan ibili
I've been on my feet all day	egun guztia zutik daramat
you must get to your feet when I talk to you	nik hitz egiten dizudanean zutitu egin behar zara
I put my foot in it when I said that	hori esatean hanka sartu nuen
I've been on my feet all day	egun guztia zutik daramat
you must get to your feet when I talk to you	nik hitz egiten dizudanean zutitu egin behar zara
I put my foot in it when I said that	hori esatean hanka sartu nuen
to lose one's footing	oreka galdu
a film for children	umeendako filma
flowers for the hall	hall-erako loreak
I took the prize for you	zure ordez hartu nuen saria
I did it for you	zuregatik egin nuen
a meeting for the dead	hildakoen aldeko elkarretaratzea
he is working for the university	unibertsitatean ari da lanean
who did you do that for?	nori emateko egin duzu hori?
it's known for its cathedral	katedralagatik da ezaguna
they left for Morocco	Marokora joan dira
I've got a book for 50 cents	50 zentimoren truke liburu bat erosi dut
it's not raining much for autumn	udazkena izateko euri gutxi ari du egiten
b for Bilbo	Bilboren b
for a few days	egun batzuetarako
I've an appointment for next Friday	datorren ostiralerako hitzordua daukat
cats forage for scraps	katuak hondakinen bila aritzen dira
to forbid smoking	erretzea debekatu
smoking is strictly forbidden	erabat debekatuta dago erretzea
a forbidding place	leku babesgabea
a forbidding reception	harrera ez abegitsua
the new regulations are now in force	arau berriak indarrean daude orain
the new regulations are now in force	arau berriak indarrean daude orain
he was forced to work	lan egitera behartu dute
they have forced the door	atea indarrez ireki dute
a forceful woman	emakume gogorra
she developed a forceful idea	ideia sendoa garatu zuen
the problem has come to the fore again	arazoa berriz nabarmentzen hasi da
the problem has come to the fore again	arazoa berriz nabarmentzen hasi da
they've forecasted a recovery in the economy	ekonomia hobetuko dela aurresan dute
a storm is forecast for tomorrow	ekaitza iragarri dute biharko
foreign affairs	kanpo-arazoak
fear is a foreign feeling for him	beldurra izatea arraroa da harentzat
a foreign body	objektu arrotza
he's one of the foremost experts	aditu nagusietako bat da
