 A certain	 léi 
On the edge	 binánii  
To go running over the edge one after another	 'adah ch'íhiijeeh  
To crawl over the edge	 'adah ch'ésh'nééh  
To crawl one after another over the edge	 'adah ch'íhii'nééh  
To set it on edge	 diishk'ąąh
To make it effervesce	 hanishháásh
To make an effort	 disdzííł 
To put forth a super-human effort to attain it	 bá 'atésht'į́ 
To require effort	 bich'į' na'adzil
Chicken egg	 naa'ahóóhai biyęęzlii 
boiled egg	 naa'ahóóhai biyęęzhii shibéezhgo 
Hardboiled egg	 naa'ahóóhai biyęęzhii yéigo shibéezhgo 
Soft-boiled egg	 naa'ahóóhai biyęęzhii t'áadoo yéigo shibézhí 
Powdered eggs	 'ayęęzhii yik'ánígíí 
Fried egg	 náá'ahóóhai biyęęzhii 'ak'ah bee sit'éego
Eight times	 tseebíidi 
Eight of us	 tseebíniilt'é 
Eight of you	 tseebínółt'é 
Eight of clubs	 tseebíígíí báasdos 
Eight of hearts	 tseebíígíí góobas 
Eight of spades	 tseebíígíí 'asbáala 
Eight of diamonds	 tseebíígíí 'óola
Eighteen times	 tseebííts'áadahdi
Eighty times	 tseebídįįdi 
Eighty one	 tseebídiin dóó ba'ąą t'ááłá'í
To ejaculate	 bił diłdaas
Elbow area	 'ach'oozhlaa' gónaa 
Elbow joint	 'agaan 'ahądit'ání 
On the elbow	 'ach'oozhlaa'gi 
Elbow	 naanázlį́
Our elders	 nihadahastóí
To take part in an election	 'atah naaltsoos 'ahishnííł
To put in electrical wiring	 béésh łichíi'ii naasht'i'
Elevated place	 hók'ą́ą́'
Eleven times	 ła'ts'áadahdi
From elsewhere	 náánáłahdę́ę́'
To be embarrassed about it	 baa yánísin 
To be embarrassing	 baa yáhásin
To arise	 nisihwiinideeł
To employ it	 choinish'įįh
To empty it on the floor	 ni'jį' yaashhad 
To empty it into it	 bii' yaash'aah
To enclose it in it	 biih yístsóós
Ends of the Earth	 ník'aashbąąh  
To be near the end	 doo bíík'al da 
To come to the end of one's days	 'ashííłkaah  
To come to the end of one's rope	 biyaa 'ahaldóóh  
To come to an end	 be'iina' niit'ééh  
To end	 k'énáhádleeh 
To be endorsed	 bee lą́ 'aleeh
Our enemies	 nihe'ena'í
The application of ashes on the Scalp Shooter in Enemy Way	 'iilbááh
To enjoy it	 baa bił honeeni
Enough for oneself	 t'áá 'ádíighahágo 
To be enroute with him	 bił yishkah  
To be enroute back with him	 bił nááshkah
To enter	 bił yah 'iishkááh  
To go into town in it: bił kįįh yighááh	 bił kįįh yilyeed -- etc  
To enter one	 tsin baa 'iizhóósh  
To enter it	 'atah bił ń'diilyeed  
To entertain oneself	 'ák'ihashta'
The entire world	 nahasdzáán t'áá si'ą́ą́ ńt'éé' 
To remove its entrails	 bich'íí' haashheeh
To start among them	 bitahgóó nikidadiiłniih 
To be subject to epidemics	 bitaahałniih 
To be wiped out by an epidemic	 naałniih 'ábíłdįįh
To get equipped	 dah 'adiishłé
They are equivalent to each other	 'ahíneel'ą́
To be eroding	 yizhosh 
To start to erode	 dizháásh 
To erode its surface	 biní'áshhaash
To be an errand boy	 naash'a'
To take it up	 bił haaldóóh 
To take an escalator up	 bił ha'aldóóh 
To take it down	 bił hadaaldóóh 
To take an escalator down	 bił hada'aldóóh
To be escaping	 neeshchééł  
To escape away	 yóó 'aniidzóód  
To escape inside	 yah 'aniidzóód  
To escape	 'anisht'įįh  
To escape with it	 'anish'įįh 
To have a narrow escape	 bikáa'jį' haleeh  
To run inside to escape	 yah 'anishchééh  
To escape with them	 bił hanishchééh
To hold him in low esteem	 t'áá 'a'ohgo baa ntséskees 
Self-esteem	 'ádił 'ídlį́
To start off evacuating them in a series of planes	 bił dah dahidiilt'ááh
To get even with him	 bił k'éé'dísh'nééh 
Even though	 'azhą́ + verb + ndi 
Even though	 'azháánee'
To be overtaken by evening	 bee 'ada'az'ą́ 
To become early evening	 hiiłch'įįh 
To become evening	 'e'e'aah 
Toward evening	 hííłch'į'go
Evening Twilight Man	 Nahootsoii Hastiin 
Evening Twilight Woman	 Nahootsoii 'Asdzáán
'Adą́ą́dą́ą́' 'índa	 yesterday was the first time ever 
Hardly ever	 łáháda
Every noon	 t'áá 'ałníná'át'ááh bik'eh  
Every year	 t'áá nináháhááh bik'eh 
Every month	 t'áá náhidizííd bik'eh  
Every time it rains	 t'áá nináháłtį́į́h bik'eh  
Every Saturday	 t'áá yiską́ damóo ná'ádleeh bik'eh  
Every once in awhile	 t'óó náhodi'naahgo  
Every other day	 naaki néíłkáahgo  
Every third day	 táá' néílkáahgo  
Every two years	 naaki bita' nínáháháahgo  
Every three years	 táá' bita' nínáháháahgo  
Every	 t'áá 'ákwíí  
Every day	 t'áá'ákwíí jį́  
Every morning	 t'áá 'ákwíí bíní  
Every night	 t'áá 'ákwíí tł'éé'  
Every summer	 t'áá'ákwíí zhíní  
Every winter	 t'áá 'ákwíí ghaaí  
Every few	 t'áá díkwíí bita'  
Every few miles	 t'áá díkwíí bita' tsin naaztą́ągo  
Every few feet	 t'áá díkwíí bita' 'adées'eezgo  
Every few days	 t'áá díkwíí bita'néílkáahgo  
Every few years	 t'áá díkwíí bita' ninádahaháahgo  
Every few months	 t'áá dikwíí bita' náhidizíígo  
Every last bit	 ts'ídá yíní 'át'éegi  
Every last one of them	 t'áadoo ła' doodahí 
Every last one of us	 t'áá 'ániit'éé ńt'éé'  
Every last one of you	 t'áá ' ánóht'éé ńt'éé'  
Evil man	 diné doo yá'áshxóonii  
Evil men	 diné doo yá'ádaashxoonii 
Evil wishes	 'iiníziin  
To be an evil omen	 bi'iiníziingo 'át'é  
To be evil	 doo yá'áníshshxǫ́ǫ da  
To bode evil	 bi'iiníziingo 'át'é  
To wish him evil	 binisdzin
Ash blowing procedure in Evil Way chants	 łeeshch'ih bee 'í'dílyooł 
Mixture of bark and herbs used to blacken the patient in the Evil way Ceremonies	 'ałtah deedlííd  
Brushing procedure in Evil Way Chants	 'ak'ina'ałhaał
Cull ewe	 dibétsa'ii doo bíká chohoo'ínígíí 
Old barren ewe	 dibétsa'ii doo bíká chohoo'ínígíí 
To make an examination	 ha'assííd
To examine it for him	 bá nísh'į́ 
To examine his genitals	 baa 'anísh'į́ 
To be examined	 bidi'níl'į́
Without exception	 t'áadoo ła' doodahí
In excess of ten	 neeznáádóó deigo hodees'áago
In exchange for oneself	 'ák'é
To become sexually excited	 n'diishchééh 
To be sexually excited	 na'ashcha'
To exert pressure or effort on it	 bidiishkaal
To be exhausted	 'ádin  
 without becoming exhausted	 t'áadoo 'ádįįhí
Exhibits	 t'áadoo le'é daníl'ínígíí
To be fading into non-existence	 'áádįįł 
To start to come into existence	 hodileeh
To exit	 ch'íbítiin
There are exits	 ch'ídahwiis'á
To expand	 'ąą hoodił 
To be expanding	 'ąą kwááshniił 
To expand by intervals	 'ąą hidideeł 
To start to expand	 k'ee'ąą dilzhíísh 
To expand it	 béé'dístsééh
To expect him	 neíníshłí 
To be expected	 bił naólní 
To be expecting	 yistsą́ 
To not expect to live	 doo na'ádííníshdlíi da
To be expectant	 yistsą́
To be expelled	 béé'ílnííh
Extremely expensive	 doo chohoo'į́į́góó da'ílį́
The experts	 da'iichįįhí 
To be an expert	 'iishchįįh
To give an explanation of it	 hazhó'ó baa hashne'
To explode it	 diishdǫǫh
To explore it	 baa nanishtá 
To explore it	 náníshnih
To extend	 dit'ééh  
To extend	 neel'ą́  
It extends	 híí'ą́  
To extend	 honít'i'  
To extend across	 naní'á  
To extend around it	 binínáánás'á  
To extend along	 honíteel  
To extend away	 'eel'á  
To extend away into the distance	 'adzoogai  
To extend away	 'aníí'á  
To extend away	 'ahííyį́  
To extend from it	 bits'ání'á  
To extend to	 taahóóteel 
To extend straight up	 yaa'á  
To extend crosswise	 naaniigo deez'á  
To extend slanting downward	 yaago deez'á  
To extend slanting upward	 deigo deez'á  
To start to extend	 hodees'á  
They extend out horizon- tally	 ch'ídaazt'i'  
They extend together	 'ahidii'á
To extend it in a line	 disht'ééh  
To extend it straight up	 yaał'á  
To extend one's arm	 k'ídíshnííh  
To extend one's hand and arm	 didiishnííh  
To be in the process of becoming extinct	 noonééł
To extract them	 hahashnííł 
To have it extracted	 shá haat'aah 
To have them extracted	 shá haha'nííł 
To extract it	 haasts'ǫǫd 
To extract things from him	 bąąh ha'iishnííł
Its extremity	 bílátah
Cross-eyed	 Náá'digizí  
Bleary-eyed	 Nák'eeshto'í  
One eyed	 Náá'k'isí  
Owl-eyed	 Náátélí  
Bug-eyed	 Náátsohí  
Narrow-eyed	 Nááts'ózí 
Albino	 Nák'eełdohii   
Beady-eyed	 Náá'chilí  
Area surrounding the eye	 'anábąąh 
Between the eyes	 'anáta'  
A fold or wrinkle under the eye	 'anáyaa  
Eye doctor	 'anáá'jí 'azee'ííł'íní  
In front of one's eyes	 biná'oh  
One-eyed	 bináák'is  
One's own eye	 'ánák'ee  
Out of the corner of one's eye	 'aníchxooshtł'ah bee  
Over one's eyes	 biná'oh  
Pupil of the eye	 'anázhiin 
The corner of the eye	 'aníchxooshtł'ah  
The liquid contained in the eyeball	 'anátoo'  
The matter from under the eye fold of a deer	 bįįh bináyaa niłchiin  
The outside corner of the eye	 'anáchooshtł'ah  
To get into one's eyes	 łid binák'ee 'iiyooł  
To have a black eye	 binák'ee dah dootł'izh  
To keep an eye on it	 bik'idesh'į́į́'  
Under the eyelid	 'anát'ah  
White of  the eye	 'anágaii
On the ridge of the eyebrow	 'anáts'iingi 
Across the ridge of the eyebrow	 'anáts'iin gónaa
False eyelash	 nádiz be'elyaaígíí
Under the eyelid	 'anát'ah
Face soap	 táláwosh bee tá'ádígisí 
Face up	 tséde  
In his face	 bich'ą́ą́h  
On one's face	 chą́ą́h  
Facing the wind	 níyol bidáahjigo 
Bidáahjigo sézį́	 to stand facing him
To make a facsimile of it	 be'eshłééh
Is that a fact!	 da' t'áá 'aaníí! 
To bring out facts	 bił ch'ídaash'a'
To fail at it	 ch'ééh 'ásh'į́  
To fail	 t'óó béshhééh  
To strike and fail to guess correctly	 yiistsił 
To try and fail at it	 t'óó bídégoh  
To fail him on it	 yooshchííd
To faint because of it	 bik'ee naa'iishgeeh
To fake illness	 daastsaah 'áhodish'į́ 
To fake misery in order to get sympathy or a hand-out	 'ádaa hojooshbá'í 
To fake poverty in order to escape giving anything away	 'ádaa hojooshbá'í 
To fake sleep	 'áhodishwosh 
To fake tears	 'áhodishcha
To fall	 ni'hoojį́į́h 
To fall	 tó naałtin 
To fall	 yas yiisááł 
To fall back on it	 bee ha'ííníshní 
To fall down on him	 bik'ijį' naadeeł -- etc 
"To ""fall for"" it"	 bidáneeshní 
To fall from it	 bąąhdę́ę́' ditsxáás 
To fall head over heels	 hatł'a'iistsééh 
To fall headlong with him	 bił chą́ą́h digeeh 
To fall heavily	 jishhaał 
To fall into a hole or burrow	 'a'ą́shtłíísh  
To fall off	 bidilts'ííd 
To fall on him	 bik'idziiłhaał 
To fall on him	 bik'ijiishhaał 
To fall on one's head	 sitsiits'iin bee nikídiishgeeh 
To fall on one's hands	 bik'idiishchííd 
To fall on top of each other	 'ałk'inéiigoh 
To fall out	 háánidééh 
To fall over with him: bił tséde 'iilts'ííd	 bił tsé'yaa 'iilts'ííd 
To fall over: tséde 'iishtłíísh	 tsé'yaa 'iishtłíísh 
This fall	 díí 'aak'eed 
This fall	 'aak'eedą́ą́' 
Last fall	 'aak'eedą́ą́'
Among the families of the community	 dahootahgóó  
Family group	 dah 'oonéłígíí  
Family members	 'áłchíní  
Family use area	 diné t'áá bił nahaz'ą́ągi  
One family unit	 t'ááłá'í hooghanígíí  
To be wiped out by famine	 dichin 'ábiłdįįh
To be famous	 béého'dilzin
To be relatively far	 'ánízáád 
At a far away location	 nízaadi 
To a far away place	 nizaagóó 
To a far away location (e.g. I can't see very far	 doo nízaajį' 'eesh'į́į da) 
How far: haa nízahgóó	 haa nízahjį'? 
How far down is it	 yaago haa nízah? 
How far up is it	 dego haa nízah? 
As far as the place where	 verb + -íjį' 
From far and near	 'aheedanízaadę́ę́'   
Not far	 'áhoohání 
Not far away	 'adiyooghání 
On the far side	 'alááhjí
To blow a long silent fart	 hadissééh 
To let silent farts	 hahidishcháásh 
To let one fart after another	 hidishtł'iid 
To be unable to fart	 bitł'id bé'niih 
To go along farting	 yishtł'ił
Farther forward	 t'ah násídi 
A little farther on	 nagháí 'ákohdi
On the farthest side	 'alááhjí
In that fashion	 'éigi 'át'éego 
In this fashion	 díigi 'át'éego
As fast as possible	 wołí bee 
To be as fast as he is	 bił 'aheedóoshwo' 
To be fast	 doo ndishna' da 
To be traveling fast	 'aneesk'ęs 
To go fast	 'adínék'ęęz 
Fast	 'ahą́ą́h 
To fasten it to the end of it	 bighą́ą́h distsééh 
To fasten it with a zipper	 bił dissǫ́ǫ́s 
To fasten them together	 'ałhą́ą́h distsééh 
To fasten it onto it	 bąąh dah shishtįįh 
To be fastened with a zipper	 bił didǫ́ǫ́s
Large sheet of fatty tissue surrounding the stomach	 'ak'ahłání 
To start to get fat	 bi'niilk'ááh
Each other's clan father	 'ałzhé'é
To become fatigued doing it	 bąąh díníshnééh
To favor it	 bił t'áá 'áko 
To be not in favor of it	 doo bił 'aaníi da
To have no fear	 doo bee'eshdlee' da
To be feasible	 bihónéedzą́
Downy feathers	 'ats'os 
Quill	 'at'ákaz 
White eagle feathers	 'atsee' łigai
To get fed up	 'ádahodeeshłaah 
To be well fed	 shichaan ntsaago kééhasht'į́
To be a Federal Employee	 Wááshindoon bá naashnish
To feed him	 ba'nistsóód 
To feed him	 bi'iissą́ 
To feed him	 bi'iishdlą́ 
To feed it	 bizahassííd 
To feed it	 bá 'iistsóód 
To feed it to them	 bá 'ahishkaad 
To feel around	 na'ashch'id 
To feel around for it	 bíká na'ashch'id 
To feel around with one's hands	 nahashch'id 
To feel around in one's pocket	 siza'azis nahashch'id 
To feel around for it	 bíká nahassiid 
To feel around for it	 hahassiid 
To feel around for it	 bíká nahasxaz 
To feel around	 nahassiid 
To feel sick	 bitah doo yá'áhoot'éeh da 
To feel him	 bídíshnih 
To feel it move	 bídii'nééh 
To feel like crying about it	 baa cha nisin 
To feel like laughing about it	 baa dlo nisin 
To feel sad	 doo 'áníshkwii da 
To find it by feeling around with the hand	 bik'í'níshch'iid 
To have no feeling	 doo 'áhályą́ą da 
To start to feel around for it	 bíká hodishch'iid 
At his feet	 bikédínághąądę́ę́' 
Facing each other's feet	 bikédíníshghąąjigo 
Feet to head	 'ałkédíníshghąąjį' 
Head to feet and feet to head	 bikédíníshghąąjigo 
To get back on one's feet	 háá'áshdįįh 
To put him on his feet	 yiissįįh 
To put him back on his feet	 néissįįh
To fell it	 naa'iishch'iish 
To fell them one after another	 naa'ahishch'iish
Its female	 ba'áád 
Female goat	 tł'ízítsa'ii 
Female sheep	 dibétsa'ii 
Female horse	 łį́į́tsa'ii
Front of the femur	 'atsoosk'id
Fence posts	 'anít'i' tsin bá 'adaaz'áhígíí 
To build a fence	 'adisht'ééh 
To build a fence around it	 biná'ásht'ih 
To build a circular fence	 'ahéé'nísht'ééh 
To build a circular masonry fence	 'ahéé'níshtł'in 
To build a fenced enclosure	 'iná'ásht'ih 
To be building a fence	 'eesht'ih 
To surround it with a picket fence	 'ahéé'níshkááł
Feral burro	 télii da'ałchiní
To fetch it	 nishłóós 
Game fetish	 dini'shchíín 
Horse fetish	 łį́į́shchíín 
Sheep fetish	 dibéshchíín
Scarlet fever	 tahoniigááh łichíi'go naałniihígíí 
To get a fever	 bitah honiigááh 
To have a fever	 bitah honeezgai 
To have a fever	 na'ashkid 
To be wiped out by fever	 ts'ííh niidóóh 'ábíłdįįh
To become feverish	 bitah honiigááh
A few of you	 t'áá díkwínółt'éhé  
Every few	 t'áá díkwíí bita'  
Every few miles	 t'áá díkwíí bita' tsin naaztą́ągo  
Every few feet	 t'áá díkwíí bita' 'adéés'eezgo  
Every few days	 t'áá díkwíí bita' néílkáahgo  
Every few years	 t'áá díkwíí bita' ninádahaháahgo  
Every few months	 t'áá díkwíí bita' náhidizíídgo  
In few places	 łáhágóó  
To be relatively few	 'a'oh 'áníilt'e'
Fields	 dáda'ak'eh 
Fifteen times	 'ashdla'áadahdi 
